"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
16;9;11;0,02915398;0,02375044;17,85;17,85;26,8;26,8;13,06;12,52;13,4858950147413;12,5883853144109;0,0268982010549996
16;11;13;0,02375044;0,02236814;17,85;17,85;26,8;26,8;12,52;11,55;12,5883853144109;11,5896244378946;0,0229987157786975
16;13;16;0,02236814;0,028274334;17,85;17,85;26,8;26,8;11,55;9,9;11,5896244378946;9,85217230421472;0,0274228015195333
16;16;20;0,028274334;0,024630086;17,85;17,85;26,8;26,8;9,9;7,43;9,85217230421472;7,14634136047697;0,0230938345853961
17;2;4;0,032672564;0,031290263;15,85;15,85;24;24;14,46;13,51;14,4249423628944;13,527045499646;0,0306736632414447
17;4;6;0,031290263;0,027269024;15,85;15,85;24;24;13,51;12,8;13,527045499646;12,6679022623897;0,0271165413828324
17;6;9;0,027269024;0,034683183;15,85;15,85;24;24;12,8;11,42;12,6679022623897;11,3742011710748;0,0341985256149664
17;9;13;0,034683183;0,034306192;15,85;15,85;24;24;11,42;9,72;11,3742011710748;9,25627526184174;0,033710023489882
17;13;20;0,034306192;0,030159289;15,85;15,85;24;24;9,72;4,88;9,25627526184174;4,50248954081251;0,0280692201330046
18;3;7;0,0325469;0,037824776;13,17;13,17;22,3;22,3;11,66;9,99;11,5455617933918;10,0007161531299;0,0366055410723956
19;2;4;0,039961059;0,037950439;18,25;18,25;25,2;25,2;16,32;15,47;16,6133398463409;15,6104759487522;0,0408043424862731
19;4;6;0,037950439;0,033803537;18,25;18,25;25,2;25,2;15,47;14,68;15,6104759487522;14,6766567668457;0,0363239766975953
19;6;9;0,033803537;0,04373097;18,25;18,25;25,2;25,2;14,68;13,44;14,6766567668457;13,3034023914261;0,0463229335167173
19;9;13;0,04373097;0,045238934;18,25;18,25;25,2;25,2;13,44;11,21;13,3034023914261;11,0525031671309;0,0468869342880549
19;13;19;0,045238934;0,04272566;18,25;18,25;25,2;25,2;11,21;6,96;11,0525031671309;6,85496224605331;0,0393616468119827
20;1,3;2;0,033049555;0,019226547;20,88;20,88;26,4;26,4;19,59;18,61;19,4346628711999;19,0068579418171;0,0203433562020118
20;2;3;0,019226547;0,026766369;20,88;20,88;26,4;26,4;18,61;18,65;19,0068579418171;18,4506961775455;0,0275181830088588
20;3;4;0,026766369;0,025384069;20,88;20,88;26,4;26,4;18,65;17,28;18,4506961775455;17,884551221817;0,0259938459353318
20;4;5;0,025384069;0,023247786;20,88;20,88;26,4;26,4;17,28;17,52;17,884551221817;17,4652618790638;0,0244302660325115
20;5;6;0,023247786;0,023876104;20,88;20,88;26,4;26,4;17,52;16,78;17,4652618790638;16,8746638290656;0,0232906842001602
20;6;8;0,023876104;0,041594687;20,88;20,88;26,4;26,4;16,78;15,82;16,8746638290656;15,9245454576854;0,042451261937418
20;8;10;0,041594687;0,036316811;20,88;20,88;26,4;26,4;15,82;14,39;15,9245454576854;14,7878085714691;0,0373846155689637
20;10;12;0,036316811;0,031918581;20,88;20,88;26,4;26,4;14,39;13,7;14,7878085714691;13,6687606325653;0,031987278918831
20;12;15;0,031918581;0,037196457;20,88;20,88;26,4;26,4;13,7;11,67;13,6687606325653;11,6825251495972;0,0380905059688039
20;15;22;0,037196457;0,040715041;20,88;20,88;26,4;26,4;11,67;5,01;11,6825251495972;5,96652985358135;0,0458524492576263
21;1,3;3;0,026892033;0,036065484;17,75;17,75;26,4;26,4;16,65;16,01;16,5905202896979;15,83666270845;0,0352194176337877
21;3;5;0,036065484;0,037070793;17,75;17,75;26,4;26,4;16,01;15,26;15,83666270845;15,0127397114154;0,0374196055756232
21;5;7;0,037070793;0,034306192;17,75;17,75;26,4;26,4;15,26;14,32;15,0127397114154;14,1755507159144;0,0335403925833938
21;7;9;0,034306192;0,029405307;17,75;17,75;26,4;26,4;14,32;13,2;14,1755507159144;13,311946843852;0,0297249705634707
